facts,longitude,latitude
Aggressive Driving/Road Rage,-73.9765171,40.7549741
Prescription Medication,-73.9429978,40.6436045
Prescription Medication,-73.9577,40.779493
Prescription Medication,-73.9985824,40.7134676
Prescription Medication,-73.9845292,40.6960346
Prescription Medication,-73.8229675,40.7145145
Alcohol Involvement,-73.9454007,40.772159
Alcohol Involvement,-73.7474896,40.7517671
Alcohol Involvement,-73.8780642,40.872452
Alcohol Involvement,-73.8802991,40.84013
Alcohol Involvement,-73.9441618,40.7735323
Prescription Medication,-73.8208978,40.5866426
Drugs (Illegal),-73.8658311,40.7366431
Prescription Medication,-73.8970434,40.8468268
Alcohol Involvement,-73.7370035,40.7408792
Prescription Medication,-73.8419873,40.695219
Prescription Medication,-73.9857147,40.7679171
Aggressive Driving/Road Rage,-73.7211909,40.7252674
Aggressive Driving/Road Rage,-73.8985502,40.6054518
Aggressive Driving/Road Rage,-73.9897922,40.7572323
Alcohol Involvement,-73.9640339,40.6846667
Alcohol Involvement,-73.9579956,40.6943646
Prescription Medication,-73.9298992,40.6162948
Prescription Medication,-73.9954735,40.759626
Prescription Medication,-73.7756334,40.7526028
Aggressive Driving/Road Rage,-73.7407591,40.717098
Prescription Medication,-74.004927,40.7570213
Prescription Medication,-73.983365,40.7660449
Prescription Medication,-73.9887858,40.7535158
Alcohol Involvement,-73.9195931,40.661997
Prescription Medication,-74.0000649,40.732928
Prescription Medication,-73.8156373,40.7433175
Prescription Medication,-73.8800407,40.8952213
Prescription Medication,-73.9465889,40.7849422
Prescription Medication,-73.9630589,40.8109467
Prescription Medication,-74.1684829,40.6215643
Prescription Medication,-73.9361624,40.7412433
Alcohol Involvement,-73.8373787,40.725176
Prescription Medication,-73.9292196,40.819058
Prescription Medication,-73.9562587,40.8133899
Prescription Medication,-73.980204,40.785661
Prescription Medication,-73.9932521,40.7024115
Alcohol Involvement,-73.8033269,40.6776723
Prescription Medication,-73.9438987,40.8278163
Aggressive Driving/Road Rage,-73.9643142,40.7606005
Aggressive Driving/Road Rage,-74.1760525,40.6187344
Prescription Medication,-73.9061582,40.8627785
Prescription Medication,-73.9546573,40.7140763
Alcohol Involvement,-73.7668897,40.7082004
Alcohol Involvement,-73.9444982,40.6245976
Prescription Medication,-73.860765,40.6847527
Prescription Medication,-73.9907077,40.6891376
Prescription Medication,-73.9808116,40.7824745
Prescription Medication,-73.9139752,40.8454299
Prescription Medication,-73.877212,40.768031
Prescription Medication,-73.9536697,40.8220183
Prescription Medication,-73.9928968,40.7199725
Prescription Medication,-73.9697999,40.7629131
Prescription Medication,-73.9348039,40.7133723
Alcohol Involvement,-73.9148433,40.8223063
Prescription Medication,-74.0017363,40.761391
Prescription Medication,-74.0093189,40.7247015
Prescription Medication,-74.0035402,40.7434485
Prescription Medication,-73.7421445,40.7655297
Prescription Medication,-74.0894424,40.6076902
Prescription Medication,-73.9947093,40.7453835
Alcohol Involvement,-73.8339571,40.7571844
Prescription Medication,-73.8800407,40.8952213
Alcohol Involvement,-73.956961,40.7601349
Aggressive Driving/Road Rage,-73.9810717,40.6674994
Prescription Medication,-73.9619648,40.6078422
Alcohol Involvement,-73.9197524,40.8681135
Prescription Medication,-73.897427,40.8441785
Alcohol Involvement,-73.9463647,40.6957047
Aggressive Driving/Road Rage,-73.9084047,40.6412326
Prescription Medication,-73.9503947,40.8289254
Alcohol Involvement,-73.8404669,40.6810813
Aggressive Driving/Road Rage,-73.8860957,40.8276556
Prescription Medication,-73.9274473,40.6352571
Prescription Medication,-73.9859454,40.752316
Prescription Medication,-73.7427542,40.7067465
Prescription Medication,-73.7768922,40.7392746
Alcohol Involvement,-73.9385688,40.6988491
Prescription Medication,-73.9899039,40.7344344
Prescription Medication,-73.9439725,40.6800886
Fell Asleep,-73.8690277,40.6909876
Prescription Medication,-73.9198741,40.8631649
Prescription Medication,-73.9787008,40.6081869
Aggressive Driving/Road Rage,-73.9761722,40.7967215
Prescription Medication,-73.9314464,40.5863445
Prescription Medication,-73.9454833,40.8077723
Prescription Medication,-73.7356712,40.6656136
Prescription Medication,-73.9080899,40.6761899
Alcohol Involvement,-73.8095931,40.7216488
Prescription Medication,-73.7827281,40.7667058
Alcohol Involvement,-74.1207394,40.6038463
Prescription Medication,-73.9467147,40.727094
Fell Asleep,-74.0176144,40.6358082
Alcohol Involvement,-73.9917874,40.7646844
Alcohol Involvement,-73.9137706,40.8387216
Prescription Medication,-74.1543579,40.588556
Alcohol Involvement,-73.9164098,40.82929
Alcohol Involvement,-74.1587617,40.6130061
Alcohol Involvement,-73.897569,40.829423
Animals Action,-74.11395,40.5800421
Alcohol Involvement,-73.9367462,40.7901567
Alcohol Involvement,-73.9535506,40.5991464
Prescription Medication,-73.9933777,40.6726033
Prescription Medication,-74.0088235,40.7160144
Prescription Medication,-73.9306058,40.6538055
Drugs (Illegal),-73.9801725,40.6611533
Prescription Medication,-73.9235855,40.6505183
Prescription Medication,-74.1016683,40.5786236
Prescription Medication,-73.9694885,40.6862876
Prescription Medication,-73.9891656,40.7478946
Alcohol Involvement,-73.9588589,40.7095517
Alcohol Involvement,-73.9275386,40.6772496
Alcohol Involvement,-74.1618991,40.5952978
Alcohol Involvement,-73.757215,40.6579482
Prescription Medication,-73.9928968,40.7199725
Aggressive Driving/Road Rage,-73.7932266,40.729347
Prescription Medication,-73.975592,40.7578587
Alcohol Involvement,-73.8976472,40.7034147
Prescription Medication,-73.9399805,40.7611009
Prescription Medication,-73.9498444,40.6768744
Alcohol Involvement,-73.7711686,40.7582955
Prescription Medication,-73.9890111,40.7437967
Alcohol Involvement,-73.7286233,40.7242998
Aggressive Driving/Road Rage,-74.101737,40.5599067
Prescription Medication,-74.1045436,40.5756539
Prescription Medication,-73.7766859,40.6630243
Prescription Medication,-73.9517381,40.7254356
Prescription Medication,-73.9541633,40.7872263
Alcohol Involvement,-73.9517685,40.8129407
Aggressive Driving/Road Rage,-73.9917423,40.6909932
Prescription Medication,-74.0637592,40.598935
Fell Asleep,-73.9790632,40.715667
Prescription Medication,-73.7083194,40.7373344
Prescription Medication,-74.0039544,40.7298565
Prescription Medication,-73.9490836,40.7243366
Alcohol Involvement,-73.925804,40.7457632
Prescription Medication,-74.0166846,40.7047985
Prescription Medication,-73.7343847,40.7189307
Prescription Medication,-73.8437175,40.7617379
Prescription Medication,-74.025363,40.6209768
Prescription Medication,-73.944358,40.7797618
Prescription Medication,-73.9049326,40.8627501
Prescription Medication,-74.02042,40.6420578
Prescription Medication,-73.9903644,40.7192038
Aggressive Driving/Road Rage,-73.9703697,40.7965967
Prescription Medication,-73.983731,40.7604566
Fell Asleep,-73.7638528,40.7610968
Prescription Medication,-73.9127887,40.8048401
Prescription Medication,-73.8915001,40.8416973
Prescription Medication,-73.9845604,40.7484375
Alcohol Involvement,-73.7971441,40.69407
Alcohol Involvement,-73.7860479,40.7525381
Aggressive Driving/Road Rage,-73.8539741,40.6689975
Drugs (Illegal),-73.7563063,40.7264503
Prescription Medication,-73.8386985,40.781677
Prescription Medication,-73.74197,40.6614832
Prescription Medication,-73.8921191,40.8187987
Prescription Medication,-73.999242,40.7595273
Prescription Medication,-73.9934636,40.7521904
Prescription Medication,-73.9805279,40.7648422
Prescription Medication,-74.0066846,40.610681
Prescription Medication,-73.9221959,40.7604754
Alcohol Involvement,-73.9932609,40.722355
Prescription Medication,-74.0123619,40.6362427
Prescription Medication,-73.9119254,40.6136832
Prescription Medication,-73.9525532,40.7865477
Prescription Medication,-73.9762353,40.7656758
Prescription Medication,-73.9111168,40.6448524
Prescription Medication,-74.0179651,40.6515442
Aggressive Driving/Road Rage,-73.8229564,40.667082
Alcohol Involvement,-73.9220387,40.7529383
Prescription Medication,-73.8143102,40.742975
Alcohol Involvement,-73.9396792,40.6912192
Prescription Medication,-73.8703694,40.7334973
Alcohol Involvement,-73.8270053,40.8863463
Prescription Medication,-73.8916133,40.8209858
Alcohol Involvement,-73.7811617,40.7292122
Prescription Medication,-73.9253821,40.642384
Prescription Medication,-73.9296942,40.8622161
Prescription Medication,-73.9750736,40.7926975
Alcohol Involvement,-74.007232,40.7434703
Alcohol Involvement,-73.9007846,40.9120796
Prescription Medication,-73.9917152,40.735214
Prescription Medication,-73.9880646,40.769792
Prescription Medication,-73.7856623,40.757961
Prescription Medication,-74.0012185,40.6713135
Prescription Medication,-74.1617036,40.6156727
Prescription Medication,-73.9588943,40.7749592
Prescription Medication,-73.9374216,40.7337618
Prescription Medication,-73.982275,40.7515772
Aggressive Driving/Road Rage,-73.7982589,40.7070163
Prescription Medication,-73.9298351,40.6327553
Alcohol Involvement,-73.9739824,40.7571804
Prescription Medication,-73.9892442,40.7528955
Prescription Medication,-73.7709699,40.7636007
Fell Asleep,-73.8527719,40.6975581
Prescription Medication,-74.1122628,40.5614587
Prescription Medication,-73.7237998,40.7634588
Prescription Medication,-73.9189996,40.7589746
Alcohol Involvement,-73.9347815,40.8087865
Prescription Medication,-74.0016664,40.7095234
Aggressive Driving/Road Rage,-74.0009562,40.7317065
Prescription Medication,-73.7379104,40.7177229
Prescription Medication,-73.9596963,40.6548405
Prescription Medication,-73.9736473,40.7920934
Animals Action,-73.8526038,40.6675904
Prescription Medication,-73.8853163,40.877334
Prescription Medication,-73.836293,40.8243922
Prescription Medication,-73.7369176,40.7224663
Alcohol Involvement,-73.9527619,40.823264
Prescription Medication,-73.7795944,40.6663703
Prescription Medication,-73.8617633,40.8415118
Prescription Medication,-73.7826256,40.7129385
Alcohol Involvement,-73.9296497,40.7607986
Prescription Medication,-73.9999567,40.7180184
Prescription Medication,-73.9207501,40.7105336
Alcohol Involvement,-73.8350092,40.8381061
Prescription Medication,-73.9769721,40.7543484
Animals Action,-73.9131247,40.8296993
Prescription Medication,-73.764116,40.6918826
Aggressive Driving/Road Rage,-73.7913993,40.7191256
Prescription Medication,-73.9828775,40.7667145
Prescription Medication,-73.9985813,40.7642812
Alcohol Involvement,-73.8218786,40.5820493
Alcohol Involvement,-73.8347991,40.7475728
Prescription Medication,-73.937918,40.7587064
Alcohol Involvement,-73.9281805,40.6704292
Fell Asleep,-73.9718868,40.6763934
Fell Asleep,-73.9059361,40.8255299
Prescription Medication,-73.9887629,40.696197
Alcohol Involvement,-73.8079259,40.7017656
Prescription Medication,-73.810322,40.6670811
Alcohol Involvement,-73.9822776,40.6739992
Alcohol Involvement,-73.9175086,40.5608801
Animals Action,-74.0315481,40.6366727
Prescription Medication,-73.9976715,40.7655301
Fell Asleep,-73.9042937,40.8269201
Alcohol Involvement,-73.9420758,40.688698
Alcohol Involvement,-73.9883031,40.6245143
Alcohol Involvement,-73.9605598,40.8158809
Prescription Medication,-73.9930696,40.7578281
Alcohol Involvement,-73.9031114,40.8596525
Alcohol Involvement,-73.9514645,40.6898634
Animals Action,-73.9158933,40.8320261
Alcohol Involvement,-73.9332342,40.6418947
Alcohol Involvement,-73.7932546,40.6854362
Prescription Medication,-73.8521639,40.6936625
Prescription Medication,-73.9253817,40.7619707
Prescription Medication,-73.871641,40.7308857
Prescription Medication,-73.9610281,40.5961601
Prescription Medication,-73.9707499,40.7616096
Prescription Medication,-73.9926041,40.7241363
Alcohol Involvement,-73.7699326,40.6673505
Prescription Medication,-74.0310592,40.6234622
Prescription Medication,-73.9678754,40.8013526
Drugs (Illegal),-73.957943,40.732009
Prescription Medication,-73.8943363,40.7239206
Alcohol Involvement,-73.7528022,40.7503678
Fell Asleep,-73.7696534,40.7455458
Prescription Medication,-73.9758407,40.7488862
Prescription Medication,-74.1211198,40.5753082
Alcohol Involvement,-73.9739824,40.7571804
Aggressive Driving/Road Rage,-73.9897287,40.7007342
Alcohol Involvement,-73.9774357,40.7495397
Drugs (Illegal),-73.9016497,40.8262564
Fell Asleep,-73.8864517,40.8540409
Prescription Medication,-73.8048849,40.7537655
Prescription Medication,-73.999242,40.7595273
Animals Action,-73.9565568,40.5946488
Alcohol Involvement,-73.7820802,40.7418481
Prescription Medication,-73.9954735,40.759626
Prescription Medication,-73.9831689,40.7561391
Prescription Medication,-73.9606703,40.7573632
Prescription Medication,-73.92446,40.8234685
Prescription Medication,-73.8933748,40.637108
Alcohol Involvement,-73.9122115,40.8507807
Prescription Medication,-73.8838776,40.8418326
Alcohol Involvement,-73.7028364,40.7385117
Prescription Medication,-73.9879256,40.7597902
Prescription Medication,-73.7848278,40.7280114
Prescription Medication,-73.8911615,40.7194601
Prescription Medication,-73.9949215,40.7552921
Prescription Medication,-73.8669163,40.8960825
Aggressive Driving/Road Rage,-73.9478951,40.7308851
Alcohol Involvement,-73.9854447,40.731659
Prescription Medication,-73.9460683,40.7143717
Prescription Medication,-73.9262037,40.6130427
Alcohol Involvement,-73.8509146,40.7104699
Alcohol Involvement,-73.9683844,40.7865943
Alcohol Involvement,-73.8208533,40.6891331
Prescription Medication,-73.9800367,40.7655201
Aggressive Driving/Road Rage,-74.148462,40.5423192
Prescription Medication,-73.8795767,40.8778277
Prescription Medication,-73.8577325,40.8335582
Prescription Medication,-74.0039287,40.7208537
Alcohol Involvement,-73.9389165,40.7483702
Prescription Medication,-73.9625151,40.7631141
Aggressive Driving/Road Rage,-73.9529233,40.6972035
Aggressive Driving/Road Rage,-73.9750204,40.7902108
Alcohol Involvement,-73.9833217,40.6936492
Prescription Medication,-73.8404621,40.6890961
Prescription Medication,-73.9714113,40.6167573
Aggressive Driving/Road Rage,-74.0014034,40.7225555
Prescription Medication,-73.9971269,40.7546224
Prescription Medication,-73.9021186,40.7457318
Alcohol Involvement,-73.9075311,40.8478155
Alcohol Involvement,-73.9725665,40.6017957
Prescription Medication,-73.999047,40.7636554
Prescription Medication,-74.1642702,40.5433352
Prescription Medication,-73.8569913,40.8303844
Animals Action,-73.8031435,40.5906567
Alcohol Involvement,-73.8683079,40.8399962
Prescription Medication,-73.926424,40.8314212
Prescription Medication,-73.9367478,40.6681286
Aggressive Driving/Road Rage,-74.0884973,40.5847883
Prescription Medication,-74.0893786,40.5896048
Prescription Medication,-73.9202761,40.8626053
Prescription Medication,-73.871598,40.8786453
Aggressive Driving/Road Rage,-73.9587154,40.7723324
Prescription Medication,-73.9543397,40.5879671
Alcohol Involvement,-73.9179524,40.8061229
Aggressive Driving/Road Rage,-73.9932609,40.722355
Alcohol Involvement,-73.7772287,40.6796533
Prescription Medication,-73.810322,40.6670811
Prescription Medication,-74.0951683,40.5897209
Prescription Medication,-73.7707754,40.6669624
Prescription Medication,-73.9744569,40.7622939
Alcohol Involvement,-73.8641843,40.7497199
Alcohol Involvement,-73.9483121,40.5886288
Aggressive Driving/Road Rage,-73.829653,40.7055437
Prescription Medication,-73.9316942,40.6186537
Aggressive Driving/Road Rage,-73.8259932,40.6899534
Prescription Medication,-73.9085863,40.5931634
Alcohol Involvement,-73.8916133,40.8209858
Prescription Medication,-74.0047486,40.7346598
Prescription Medication,-73.7388959,40.7672598
Alcohol Involvement,-73.9196986,40.8378751
Alcohol Involvement,-73.8893729,40.8733829
Alcohol Involvement,-73.7231521,40.7247341
Alcohol Involvement,-73.9781227,40.7457274
Alcohol Involvement,-73.9413524,40.8018664
Alcohol Involvement,-73.8966906,40.8319666
Alcohol Involvement,-73.8488335,40.6881494
Prescription Medication,-73.9487599,40.6432449
Prescription Medication,-73.7402817,40.6590942
Prescription Medication,-73.9103026,40.8054914
Prescription Medication,-73.9716962,40.7603116
Prescription Medication,-74.0021839,40.7607762
Prescription Medication,-73.9400388,40.756487
Aggressive Driving/Road Rage,-73.8682432,40.7029703
Prescription Medication,-73.8506631,40.901637
Alcohol Involvement,-73.8924833,40.8438254
Prescription Medication,-73.876747,40.7442637
Prescription Medication,-73.9869481,40.7560353
Prescription Medication,-73.9971211,40.7223002
Prescription Medication,-73.9887629,40.696197
Prescription Medication,-73.9620072,40.8055091
Aggressive Driving/Road Rage,-73.7873295,40.7558287
Prescription Medication,-73.9871041,40.696131
Prescription Medication,-73.9823647,40.7673924
Fell Asleep,-73.9261524,40.7440288
Aggressive Driving/Road Rage,-73.9272684,40.8655357
Prescription Medication,-73.959265,40.7592841
Prescription Medication,-73.9547354,40.7105932
Prescription Medication,-73.884318,40.8172102
Prescription Medication,-73.9272468,40.7596718
Animals Action,-73.9617489,40.7019442
Aggressive Driving/Road Rage,-73.9504192,40.6408275
Prescription Medication,-73.9928968,40.7199725
Drugs (Illegal),-73.9367906,40.7598833
Prescription Medication,-73.976288,40.7597856
Prescription Medication,-74.0990903,40.5807256
Prescription Medication,-73.9974153,40.6703473
Alcohol Involvement,-73.7477573,40.7495375
Prescription Medication,-73.7335072,40.6632233
Prescription Medication,-73.9221192,40.7551396
Prescription Medication,-73.9298351,40.6327553
Prescription Medication,-73.9843735,40.6835431
Fell Asleep,-73.8749391,40.8729592
Prescription Medication,-73.9259648,40.7667442
Prescription Medication,-73.9847921,40.7452427
Animals Action,-73.7389203,40.6634389
Alcohol Involvement,-73.9194562,40.8351
Alcohol Involvement,-73.9005944,40.7126973
Alcohol Involvement,-73.90586,40.8435983
Aggressive Driving/Road Rage,-73.9216614,40.8313358
Fell Asleep,-73.9227263,40.6673652
Alcohol Involvement,-73.8135422,40.6692218
Aggressive Driving/Road Rage,-73.9666173,40.7532425
Prescription Medication,-73.9347418,40.7509782
Alcohol Involvement,-73.9811087,40.6515907
Prescription Medication,-74.1508395,40.5499631
Fell Asleep,-73.9473543,40.6572811
Aggressive Driving/Road Rage,-73.8239146,40.6905431
Alcohol Involvement,-73.9722023,40.749824
Prescription Medication,-74.0011295,40.7416672
Prescription Medication,-73.8945293,40.8345145
Prescription Medication,-74.1618991,40.5952978
Prescription Medication,-73.9782926,40.7780962
Prescription Medication,-73.991232,40.7603532
Alcohol Involvement,-73.9519581,40.7151811
Prescription Medication,-73.9414808,40.5983037
Alcohol Involvement,-73.8551984,40.8422585
Prescription Medication,-73.9127392,40.8618642
Prescription Medication,-73.9954735,40.759626
Aggressive Driving/Road Rage,-73.9712223,40.7877918
Prescription Medication,-74.0856432,40.5939252
Prescription Medication,-73.9630861,40.7750017
Prescription Medication,-73.8349458,40.7121636
Aggressive Driving/Road Rage,-74.0106432,40.7036958
Aggressive Driving/Road Rage,-73.9170643,40.8636899
Prescription Medication,-73.9965685,40.6650745
Alcohol Involvement,-73.9752435,40.6854052
Prescription Medication,-73.831765,40.7061424
Aggressive Driving/Road Rage,-74.0858762,40.5958903
Prescription Medication,-73.9054924,40.680036
Prescription Medication,-73.9611113,40.8118299
Prescription Medication,-74.0236552,40.6199616
Alcohol Involvement,-73.9193861,40.675213
Aggressive Driving/Road Rage,-73.9831481,40.7388307
Prescription Medication,-73.983731,40.7604566
Aggressive Driving/Road Rage,-73.9092546,40.8058254
Prescription Medication,-73.8616432,40.7324716
Prescription Medication,-73.9049153,40.7535045
Aggressive Driving/Road Rage,-73.9867994,40.6685789
Prescription Medication,-73.9822303,40.6621418
Alcohol Involvement,-73.8925038,40.8422856
Fell Asleep,-73.9764412,40.7857344
Prescription Medication,-73.9010345,40.8852149
Alcohol Involvement,-73.9718224,40.7280368
Alcohol Involvement,-73.7429766,40.660286
Alcohol Involvement,-73.8949555,40.7018972
Aggressive Driving/Road Rage,-73.9985857,40.7246333
Prescription Medication,-73.9929799,40.7528546
Prescription Medication,-73.9970795,40.6011292
Prescription Medication,-73.9934636,40.7521904
Prescription Medication,-74.1058015,40.5743956
Prescription Medication,-73.9579603,40.6988194
Alcohol Involvement,-74.0917627,40.5900146
Aggressive Driving/Road Rage,-73.95828,40.6087467
Alcohol Involvement,-73.9087858,40.7130582
Prescription Medication,-73.9662132,40.6531902
Prescription Medication,-74.0130824,40.7091466
Prescription Medication,-73.8620784,40.712202
Prescription Medication,-73.9914526,40.7006904
Prescription Medication,-73.9697999,40.7629131
Alcohol Involvement,-73.8222478,40.6649593
Alcohol Involvement,-73.9346446,40.6550952
Alcohol Involvement,-73.9533541,40.6691137
Prescription Medication,-73.8921191,40.8187987
Prescription Medication,-73.9233734,40.7535951
Alcohol Involvement,-73.9477514,40.6610059
Prescription Medication,-73.9968524,40.7577322
Fell Asleep,-73.9661514,40.7679158
Prescription Medication,-74.02042,40.6420578
Alcohol Involvement,-73.9164642,40.6766464
Alcohol Involvement,-73.9819939,40.6834193
Prescription Medication,-73.9151876,40.6428627
Prescription Medication,-73.9133371,40.8136099
Prescription Medication,-73.7833705,40.7068328
Prescription Medication,-73.8622538,40.5714687
Prescription Medication,-73.9098681,40.8623094
Alcohol Involvement,-73.9053253,40.81547
Prescription Medication,-73.8581876,40.7115989
Prescription Medication,-73.8431455,40.8850299
Prescription Medication,-73.7465392,40.7357781
Aggressive Driving/Road Rage,-73.8090389,40.7199104
Prescription Medication,-74.0059583,40.7452298
Alcohol Involvement,-73.8879967,40.8166622
Drugs (Illegal),-73.9337309,40.8493212
Prescription Medication,-73.9854447,40.731659
Prescription Medication,-73.7229343,40.7642676
Aggressive Driving/Road Rage,-73.9199556,40.7684391
Prescription Medication,-73.8902754,40.8611095
Aggressive Driving/Road Rage,-73.9496815,40.8020241
Aggressive Driving/Road Rage,-73.9130305,40.8436423
Prescription Medication,-74.0048609,40.7416452
Alcohol Involvement,-73.7435918,40.6962166
Aggressive Driving/Road Rage,-73.9033202,40.862735
Prescription Medication,-73.7832093,40.7597241
Fell Asleep,-73.9904543,40.771612
Prescription Medication,-73.7626389,40.6661719
Prescription Medication,-73.9735237,40.7578088
Prescription Medication,-73.9940691,40.7615555
Prescription Medication,-73.8674729,40.742096
Prescription Medication,-73.9059999,40.8494529
Fell Asleep,-73.9280394,40.841262
Prescription Medication,-73.7375377,40.7684013
Prescription Medication,-73.9959428,40.758981
Prescription Medication,-73.8039995,40.7602718
Prescription Medication,-73.9968524,40.7577322
Alcohol Involvement,-74.162344,40.607948
Alcohol Involvement,-73.9313928,40.8137456
Alcohol Involvement,-73.990759,40.7609926
Prescription Medication,-74.1515858,40.5363506
Alcohol Involvement,-73.8525973,40.7080347
Alcohol Involvement,-73.9129533,40.8142683
Prescription Medication,-73.977196,40.7643229
Alcohol Involvement,-73.7922882,40.7526127
Prescription Medication,-73.9928968,40.7199725
Prescription Medication,-73.9628143,40.6605095
Prescription Medication,-73.8338592,40.8760226
Prescription Medication,-73.871598,40.8786453
Prescription Medication,-73.9987944,40.7601531
Aggressive Driving/Road Rage,-73.9239102,40.8398321
Prescription Medication,-73.9116642,40.6695476
Prescription Medication,-73.9179932,40.6264564
Prescription Medication,-73.9387055,40.7070148
Prescription Medication,-73.9805079,40.6974475
Prescription Medication,-73.9858602,40.6777079
Alcohol Involvement,-73.9092172,40.8518022
Prescription Medication,-73.9374202,40.8043758
Alcohol Involvement,-73.9940342,40.6678494
Prescription Medication,-73.964786,40.7557562
Alcohol Involvement,-73.9285998,40.6659692
Prescription Medication,-73.9949534,40.7158555
Aggressive Driving/Road Rage,-73.9266187,40.8645253
Prescription Medication,-73.9999567,40.7180184
Prescription Medication,-73.9906233,40.7509908
Alcohol Involvement,-73.9620415,40.6186183
Prescription Medication,-73.7518429,40.7088222
Prescription Medication,-73.9967618,40.7667789
Prescription Medication,-74.0148247,40.7098244
Prescription Medication,-73.9668472,40.7698455
Alcohol Involvement,-73.9544246,40.7624116
Alcohol Involvement,-73.8779835,40.8395649
Alcohol Involvement,-73.873013,40.7663521
Prescription Medication,-73.9977679,40.6911938
Aggressive Driving/Road Rage,-73.9356781,40.7914069
Alcohol Involvement,-73.9769016,40.6036878
Alcohol Involvement,-74.0029374,40.6588768
Prescription Medication,-73.9543397,40.5879671
Prescription Medication,-74.0070804,40.6413265
Alcohol Involvement,-73.8280091,40.6940516
Prescription Medication,-73.9882,40.7185558
Aggressive Driving/Road Rage,-73.9650588,40.7036882
Aggressive Driving/Road Rage,-73.9624863,40.7053507
Prescription Medication,-73.9785667,40.7566543
Prescription Medication,-73.9733095,40.7609899
Prescription Medication,-73.9368228,40.7983069
Prescription Medication,-73.7581495,40.6656356
Prescription Medication,-73.825504,40.7294444
Prescription Medication,-73.9857147,40.7679171
Alcohol Involvement,-73.9624487,40.6631828
Alcohol Involvement,-73.8116913,40.6876692
